message,label,transformed_Message
@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...,1,ill tell ya stori later good day ill workin like three hour
@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge,1,sorri bed time came gmt
@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. ,1,dont either depress dont think even want know kid suitcas
Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend ,1,bed class work gym class anoth day that gonna fli miss girlfriend
really don't feel like getting up today... but got to study to for tomorrows practical exam... ,1,realli dont feel like get today got studi tomorrow practic exam
He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ,1,he reason teardrop guitar one enough break heart
"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!",0,sad sad sad dont know hate feel wanna sleep still cant
@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ,1,awww soo wish see final comfort im sad miss
Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.,1,fall asleep heard traci girl bodi found sad heart break famili
@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... ,1,yay im happi job also mean le time
"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?",1,check user timelin blackberri look like twank still happen ppl still prob w bg uid
Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it ,0,oh man iron fave top wear meet burnt
is strangely sad about LiLo and SamRo breaking up. ,1,strang sad lilo samro break
@tea oh! i'm so sorry  i didn't think about that before retweeting.,1,oh im sorri didnt think retweet
Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are ,0,broadband plan massiv broken promis via www diigo com tautao still wait broadband
"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. ",1,wow ton repli may unfollow see friend tweet your scroll feed lot
our duck and chicken are taking wayyy too long to hatch ,1,duck chicken take wayyy long hatch
"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. ",0,put vacat photo onlin yr ago pc crash forget name site
I need a hug ,1,need hug
"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! ",1,sure po much want dont think trade away compani asset sorri andi
"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. ",0,put vacat photo onlin yr ago pc crash forget name site
"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm",1,sad feel dalla go show gotta say though youd think show would use music game mmm
Ugh....92 degrees tomorrow ,1,ugh degre tomorrow
Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.,1,u move thought u alreadi sd hmmm random u found glad hear yer well
"@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?",1,miss p commiss wutcha play cop blood sand
just leaving the parking lot of work! ,1,leav park lot work
The Life is cool. But not for Me. ,1,life cool
"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. ",1,sadli though ive never gotten experi post coitu cigarett never
I had such a nice day. Too bad the rain comes in tomorrow at 5am ,1,nice day bad rain come tomorrow
@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks ,1,bad wont around lost job cant even pay phone bill lmao aw shuck
Damm back to school tomorrow ,1,damm back school tomorrow
"Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?",0,mo job money hell min wage fn clam hour
@katortiz  Not forever... See you soon!,1,forev see soon
"@Lt_Algonquin agreed, I saw the failwhale allllll day today. ",0,agre saw failwhal allllll day today
@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!,1,oh haha dude dont realli look em unless someon say hey ad sorri im terribl need pop
@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!,1,im sure your right need start work nikster jare least
i really hate how people diss my bands!  Trace is clearly NOT ugly!,0,realli hate peopl di band trace clearli ugli
"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls.",1,gym attir today puma singlet adida short black busi sock leather shoe lucki run cute girl
Why won't you show my location?!   http://twitpic.com/2y2es,1,wont show locat
No picnic  my phone smells like citrus.,1,picnic phone smell like citru
"@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. ",1,donkey sensit comment nevertheless hed med glad see mug asap charger still awol
No new csi tonight.  FML,1,new csi tonight fml
i think my arms are sore from tennis ,1,think arm sore tenni
wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . ,1,wonder someon u like much make unhappi split seccond depress
sleep soon... i just hate saying bye and see you tomorrow for the night. ,0,sleep soon hate say bye see tomorrow night
"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine ",1,got ur newslett fare realli unbeliev shame alreadi book paid mine
missin' the boo ,1,missin boo
@markhardy1974 Me too  #itm,1,itm
Damn... I don't have any chalk! MY CHALKBOARD IS USELESS ,1,damn dont chalk chalkboard useless
"had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too ",0,blast getti villa hate she sore throat day get wors
@msdrama hey missed ya at the meeting  sup mama,1,hey miss ya meet sup mama
"My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!",1,tummi hurt wonder hypnosi anyth work get stop smoke
why is it always the fat ones?! ,1,alway fat one
"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*",1,sorri babe fam annoy thank theyr asleep right muahaha evil laugh
@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad ,1,paid attent cover photoshop webpag design class undergrad
wednesday my b-day! don't know what 2 do!! ,1,wednesday bday dont know
Poor cameron (the hills) ,1,poor cameron hill
"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache ",0,pray pleas ex threaten start sh babi st birthday parti jerk still headach
"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike",0,hmm u realli enjoy problem constant u think thing find someon ulik
Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435,0,strider sick littl puppi
"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL.....",1,ryle grace wana go steve parti sadli sinc easter wnt b abl much ohh well
"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money ",1,hey actual one bracket pool bad wasnt one money
"@stark YOU don't follow me, either  and i work for you!",1,dont follow either work
A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.,1,bad nite favorit team astro spartan lose nite w good
A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.,0,bad nite favorit team astro spartan lose nite w good
"@mangaaa I hope they will increase the capacity fast, yesterday was such a pain. Got the fail whale +15 times in 2 hours.... ",0,hope increas capac fast yesterday pain got fail whale time hour
Behind on my classes for work ,1,behind class work
watching &quot;House&quot; ,1,watch quot hous quot
@kpreyes Remember my bum leg? Strikes back this time its serious ,1,rememb bum leg strike back time seriou
A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.,0,bad nite favorit team astro spartan lose nite w good
"@mangaaa I hope they will increase the capacity fast, yesterday was such a pain. Got the fail whale +15 times in 2 hours.... ",0,hope increas capac fast yesterday pain got fail whale time hour
would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?,1,would rather first parti send bad messag rd parti send mix one sophmor year
@Henkuyinepu it's overrated ,1,overr
@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times ,1,know heard afternoon wonder thing moscow behind time
laying in bed with no voice.. ,1,lay bed voic
I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy,1,im sooo sad kill kutner hous whyyyyyyyy
@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.,1,sorri tell mea culpa realli sorri
"@Alliana07 it didn't make any sense to me, the suicide thing. I refuse to believe that that is actually what happened. ",0,didnt make sens suicid thing refus believ actual happen
@salancaster  hope your ok.,1,hope ok
@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love,1,damn grind inspir sadden time dont want stop cuz like u much love
@HibaNick yeah aw but i know i wudnt stand a chance ,1,yeah aw know wudnt stand chanc
ugh. cant sleep. its 1:30am. ,1,ugh cant sleep
Hanging in Crooners. Wanna sing. Can't. Sucks. ,1,hang crooner wanna sing cant suck
@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quot;morning&quot; i think.. aww i wanna go to the beach w u girls!! ,1,aaw miss ya im leav bh tomorrow quot morn quot think aww wanna go beach w u girl
Is pissed off that there's no ASBA's for a radio station. ,1,piss there asba radio station
wednesday my b-day n don't know what 2 do!  ,1,wednesday bday n dont know
I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good. ,1,know life flip upsid thought head ramen sound good
I am in pain. My back and sides hurt. Not to mention crying is made of fail. ,0,pain back side hurt mention cri made fail
"Late night snack, glass of OJ b/c I'm &quot;down with the sickness&quot;, then back to sleep...ugh I hate getting sick... ",0,late night snack glass oj b c im quot sick quot back sleep ugh hate get sick
@allyheman but.. but.. but.. I'm not a big fan on camilla belle ,1,im big fan camilla bell
"@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine ",1,wah cant see clip must elstupido work filter cant wait till get puter someth els blame ex broke mine
This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done ,1,week seem get longer longer term much need much im actual go get done
I'm so cold ,1,im cold
@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow ,1,ehhh dont weather gonna take turn ugli tomorrow
@chelserlynn haha its so cooooold in the d! and no  but you should still go to the show. they do some incredible stuff,1,haha cooooold still go show incred stuff
Hoping the tummy rumbles go away soon ,1,hope tummi rumbl go away soon
"@Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over. ",1,notic told id work tomorrow call agenc follow said
almost bedtime ,1,almost bedtim
I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart,1,im miss babe long aliv im happi yawwwnn im tire love imma tri sleep hope headstart
Agh...snow!!! ,1,agh snow
i miss kenny powers ,0,miss kenni power
"@BridgetsBeaches Thank you for letting people know, but now I'm sad that the direct message I got wasn't actually from Bridget ",1,thank let peopl know im sad direct messag got wasnt actual bridget
"...and, India missed out its 100th Test victory n 10th consecutive win without a loss. ",1,india miss th test victori n th consecut win without loss
@JonathanRKnight I guess that's a no then. ,1,guess that
sadly is going to bed. ,1,sadli go bed
@ozesteph1992 Shame to hear this Stephan ,1,shame hear stephan
@mrsaintnick hey! i'm leavin in the morning... ,1,hey im leavin morn
"Was intending to finish editing my 536-page novel manuscript tonight, but that will probably not happen. And only 12 pages are left ",1,intend finish edit page novel manuscript tonight probabl happen page left
laid around too much today... now my head hurts ,1,laid around much today head hurt
@twista202 I still haven't read the 9th&amp;10th Princess diaries  Saving Francesca made me cry at the end. Hmm those are easy books.,1,still havent read th amp th princess diari save francesca made cri end hmm easi book
my nokia 1110 died..  ,1,nokia die
My mom might have breast cancer won't find out anything for. Like a week I'm so worried! ,1,mom might breast cancer wont find anyth like week im worri
Going to sleep. Hoping tomorrow is a better day. ,1,go sleep hope tomorrow better day
@rumblepurr lol.. wish they understood daylight savings has ended though and breakfast is an hour later  They keep waking the kids up too,1,lol wish understood daylight save end though breakfast hour later keep wake kid
@onemoreproject that is lame ,1,lame
I don't understand... I really don't ,1,dont understand realli dont
HEROES just isn't doing it for me this season... ,1,hero isnt season
Living not downtown sure isn't much fun.  ,1,live downtown sure isnt much fun
@jonathanchard Not calorie wise   I wish junk food was calorie free! I ate a thing of sour skittles and a big ass cherry coke!,1,calori wise wish junk food calori free ate thing sour skittl big as cherri coke
Man Work is Hard ,1,man work hard
"getting sick  time for some hot tea, studying, and then sleeeep",0,get sick time hot tea studi sleeeep
Getting eyebrows waxed. More pain ,0,get eyebrow wax pain
No phantasy star yesterday  going to work...,1,phantasi star yesterday go work
Oh - Just got all my MacHeist 3.0 apps - sweet. Didn't get the Espresso serial no though although they said they sent it - oh well ,1,oh got macheist app sweet didnt get espresso serial though although said sent oh well
Picked Mich St to win it all from the get go.  Was feeling pretty good about that pick all the way up until......tonight.  A's lost too ,1,pick mich st win get go feel pretti good pick way tonight lost
is alone downstairs...working ,1,alon downstair work
I feel bad for doing it ,1,feel bad
"@RyanSeacrest is it just me, or she hates anoop. i mean seriously, she's kinda mean to him. ",0,hate anoop mean serious she kinda mean
@pinkserendipity yes sprint has 4g only in baltimore and chicago so far ,1,ye sprint g baltimor chicago far
I'm stuck awake in the middle of the night for the second day in a row. And I felt terrible yesterday. ,0,im stuck awak middl night second day row felt terribl yesterday
Thanks for bursting my bubble ,0,thank burst bubbl
Going to school soon... can't find anything to wear!! gosh it's so hard ,1,go school soon cant find anyth wear gosh hard
@marieclr I was serious  LOL,1,seriou lol
@naughtyhaughty I had on my page for sooooo long!!! Until it got deleted  Sad day in history,1,page sooooo long got delet sad day histori
Crazy wind today = no birding  http://ff.im/1XTTi,1,crazi wind today bird
currently at work.. ,1,current work
Grrr.. my ipods acting weird too! Jai ho and thinking of you aren't playing the full songs.. ughh. ,1,grrr ipod act weird jai ho think arent play full song ughh
@penndbad send me the DVD cos I have missed out on heaps  NOT happy about that!,1,send dvd co miss heap happi
i don't see the big deal with this website ,1,dont see big deal websit
@machineplay I'm so sorry you're having to go through this. Again.  #therapyfail,1,im sorri your go therapyfail
@ColinDeMar Far too out of the way for rail.  any other tips?,1,far way rail tip
I'm not still up I swear. Why do I keep losing. gaining. losing. gaining. tweeps?  So heart wrenching.,1,im still swear keep lose gain lose gain tweep heart wrench
"Today I realized I am too good at hiding things, even I can't find it ",1,today realiz good hide thing even cant find
"Staying at a friends house...house sitting, neighbors are SO loud-having a party ",1,stay friend hous hous sit neighbor loudhav parti
@dannyvegasbaby danny im upset that i wasnt here to watch the live chat  i was in a car. for 3 hours on a trip im soooo upset!!,1,danni im upset wasnt watch live chat car hour trip im soooo upset
Check out my mug  http://www.erika-obscura.blogspot.com,1,check mug
Borders closed at 10 ,0,border close
Downloading NIN's new album &quot;the slip&quot; - when the hell did this come out? I'm so behind the times these days ,0,download nin new album quot slip quot hell come im behind time day
Just woke up an already have written some e-mail... I've to go early at University today as I have to teach at 8:30 AM! ,1,woke alreadi written email ive go earli univers today teach
is watching the hill . . .and its making me sad ,1,watch hill make sad
So many channels.... yet so so boring... lazy day again  may have to find a hobby,1,mani channel yet bore lazi day may find hobbi
@supersport I miss my buddy  ill be in NY on the 25th,1,miss buddi ill ny th
@robluketic  love the french. I tell people here in the south i'm qtr. french and they snarl at me.  french are beautiful people,1,love french tell peopl south im qtr french snarl french beauti peopl
Opps.. As I said.. I still got one day remain and now problem come ,0,opp said still got one day remain problem come
"I activated my Selfcontrol block early, meaning I can't check out the new QC.  Regularizing my internal clock is might be difficult. #fb",1,activ selfcontrol block earli mean cant check new qc regular intern clock might difficult fb
@HillyDoP  oH NO,1,oh
spencer is not a good guy. ,1,spencer good guy
"@goodlaura What about Reese dying on #TTSC? And season finale next week.  #24 boring, Madame President is a crazy woman.",1,rees die ttsc season final next week bore madam presid crazi woman
"@JonathanRKnight I hate the limited letters,too.Hope you and the guys are fine?I pray for my dog,she�s not well ",0,hate limit letter hope guy fine pray dog well
didn't get shit done today ~ i'm so screwed ,1,didnt get shit done today im screw
wanttss to go out ,1,wanttss go
Is not going to sleep tonite. ,1,go sleep tonit
too worried and tired to post tonight ,1,worri tire post tonight
couldn't get shit done today ~ i'm so screwed ,1,couldnt get shit done today im screw
"Job Interview in Cardiff today, wish me luck! Got about 3 hours sleep ",1,job interview cardiff today wish luck got hour sleep
"@stustone Your show is whack. Way worse than whack, it's wiggety-whack.    :*(:*(:*(",1,show whack way wors whack wiggetywhack
"@stustone Your show is whack. Way worse than whack, it's wiggety-whack.    :*(:*(:*(",0,show whack way wors whack wiggetywhack
"@eloquentembrace You're going to kill me, but I've not seen DS9. I've been waiting till I can do it in one solid week sitting. ",1,your go kill ive seen d ive wait till one solid week sit
@cheechbud i think ur right!! hahaha!! 4.5 hrs now!! ,1,think ur right hahaha hr
i hate to see the spartans so sad ,0,hate see spartan sad
My mind and body are severely protesting this &quot;getting up&quot;  thing. Had nightmares to boot ,1,mind bodi sever protest quot get quot thing nightmar boot
"@MySteezRadio I'm goin' to follow u, since u didn't  LOL  GO ANGELS!",1,im goin follow u sinc u didnt lol go angel
@twista202 I think I want to read some books but the library doesn't have them ,1,think want read book librari doesnt
My nap was interrupted so many times today  Going out for Japanese with the 'rents again...,1,nap interrupt mani time today go japanes rent
Kind of longs for the bus that shows up at the end of Ghost World right now. Ugh. ,1,kind long bu show end ghost world right ugh
@GuruMN but this is canada  canada is weird. we're supposed to get snow through wednesday. ugh.,1,canada canada weird suppos get snow wednesday ugh
Awwh babs... you look so sad underneith that shop entrance of &quot;Yesterday's Musik&quot;  O-: I like the look of the new transformer movie ,1,awwh bab look sad underneith shop entranc quot yesterday musik quot like look new transform movi
sad that the 'feet' of my macbook just fell off ,1,sad foot macbook fell
I'm gonna get up late tomorrow and it's 132am here. I gonna get tipsy by my lonesome. That's...that's just sad ,1,im gonna get late tomorrow gonna get tipsi lonesom that that sad
"I'm sweating my forthcoming trip to E3.  If I can't find someone to crash with while I'm out there, I may be screwed.  ",0,im sweat forthcom trip e cant find someon crash im may screw
"Has now gotten somebody to read his tweets, but cant get them to make an account. ",1,gotten somebodi read tweet cant get make account
@infinitydefines  omgawd i couldnt handle my cat being in heat all the time D: D:,1,omgawd couldnt handl cat heat time
@DonnieWahlberg I hope i can make it to the auburn show. but its not looking good for me ,0,hope make auburn show look good
@David_Henrie *thats people mag haha i couldnt fit it all in.. i dont think those pictures ever made it in the magazine tho!  haha,1,that peopl mag haha couldnt fit dont think pictur ever made magazin tho haha
@breadandbadger Congrats!!  i totally forgot to submit photos ,1,congrat total forgot submit photo
"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx",1,awww good luck paula pleas dont work hard hope fun new album gonna amaz xxx
@imaginarypeach now your leaving me  .... -gets sad-,1,leav get sad
"I miss you twitter. My phone broke, now I'm using a stupid Nokia phone. Ughhh, I miss my advance phone. ",1,miss twitter phone broke im use stupid nokia phone ughhh miss advanc phone
SHOOTING OUTSIDE MY HOUSE :O NOT KIDDING! So SCARED ,0,shoot outsid hous kid scare
Tuesday�ll start with reflection �n then a lecture in Stress reducing techniques. That sure might become very useful for us accompaniers ,1,tuesday start reflect n lectur stress reduc techniqu sure might becom use u accompani
What tragedy and disaster in the news this week ,0,tragedi disast news week
yes yes still trying to find a picture that will upload correclty.. ,1,ye ye still tri find pictur upload correclti
Why oh why was the Red Sox game rained out? I was so looking forward to opening day ,1,oh red sox game rain look forward open day
I still can't find my keys. ,1,still cant find key
@charlietm I know right. I dunno what is going on with twitter. ,1,know right dunno go twitter
might be getting a sore throat again ,1,might get sore throat
@labelsnotlove   my home town. My mammy called all depressd.  Pls explain y a parent let their 8yr old child walk alone? Hello? Its 2009!,1,home town mammi call depressd pl explain parent let yr old child walk alon hello
@ircmaxell - I think I need to find better anti-depressants.  I think this Paxil/Wellbutrin combo is losing its efficacy.  ,1,think need find better antidepress think paxil wellbutrin combo lose efficaci
@MyConnecticut Restaurant called WoodNTap has competitive eating tourney round tourney time. We place 2nd ,1,restaur call woodntap competit eat tourney round tourney time place nd
is in the bathroom... wake up lakin. ,1,bathroom wake lakin
@CaitlinOConnor i want tacos and margarhitas  telll gay i say hello&lt;3,1,want taco margarhita telll gay say hello lt
"im lonely  keep me company! 22 female, california",1,im lone keep compani femal california
bad day at the betfair office ,1,bad day betfair offic
I miss him.  Can't wait to celebrate the Tar Heel win this weekend though!!,1,miss cant wait celebr tar heel win weekend though
I'm really cold. I don't want to go to sleep yet but there's nothing to do ,1,im realli cold dont want go sleep yet there noth
@kristencampisi is this it 4 u? Its ' officially over ' 4 me this go round! ,1,u offici go round
monkeys??? i just found out you my twin and you wont even write back.  i'm heartbroken,1,monkey found twin wont even write back im heartbroken
@miss_om Aww  I know I felt like that yesterday at work ,1,aww know felt like yesterday work
@SarahReedSC treaty isn't defined ,1,treati isnt defin
missed Brent at praise band.   No fun to not have the your lead guitarist.  &lt;pout&gt;,1,miss brent prais band fun lead guitarist lt pout gt
missed Brent at praise band.   No fun to not have the your lead guitarist.  &lt;pout&gt;,0,miss brent prais band fun lead guitarist lt pout gt
Missing My BFF  watching home and away it reminds me of her and me  we &lt;3 It. shout out to u courts,1,miss bff watch home away remind lt shout u court
New video card is DOA. ,1,new video card doa
"feeling lost, naked and confused (JK, sort of).....no iphone for me. ",1,feel lost nake confus jk sort iphon
"Damn i am so late at filling this appraisal form, people have almost sent it .. i was so occupied in work ",1,damn late fill apprais form peopl almost sent occupi work
missed Brent at praise band.  No fun to not have your lead guitarist. &lt;pout&gt;,1,miss brent prais band fun lead guitarist lt pout gt
i think to much on the past. i cant change it. i deserved so much more then wat i got. ..but why am i still thinking about him  gah,1,think much past cant chang deserv much wat got still think gah
has lost his ring. It's no-where to be seen ,1,lost ring nowher seen
"@burgaw Ooooooh! *sealclap* See, I download shitloads of zip folders off 4chan. I have no internet moneys.  FUCK YEAH ALICIA &amp; MIKEY.",1,ooooooh sealclap see download shitload zip folder chan internet money fuck yeah alicia amp mikey
Is still nursing my Nile but glad he is feeling better. I hate when my baby is sick ,0,still nurs nile glad feel better hate babi sick
Is fucked to go back to IC ,1,fuck go back ic
@Brandizzzle08 yoyoyo. my internet has been rude tonight. it JUST reconnected and I'm about to go to bed. ,1,yoyoyo internet rude tonight reconnect im go bed
@jemcam well i have uni stuff and netball  but after netbal if i've done uni stuff we can,1,well uni stuff netbal netbal ive done uni stuff
@kissability Me too I is poor ,1,poor
help me forget 8th april &amp; 13th july! ,1,help forget th april amp th juli
"dierks bentley is comin' to columbus, OH!! i wanna go so bad ",1,dierk bentley comin columbu oh wanna go bad
i have to take my sidekick back. ,1,take sidekick back
@chriscantore congrats! I'm totally jealous! only wish my XM was working ,1,congrat im total jealou wish xm work
gr8t my face is very itchy ,1,grt face itchi
poor socks  luvvvvv the golden retriever!! I want one sighhhh,1,poor sock luvvvvv golden retriev want one sighhhh
I just saw that they found that Tracy girl in a piece of luggage... How fucking terrible ,1,saw found traci girl piec luggag fuck terribl
Aaaaand the nausea is back. ,1,aaaaand nausea back
@DonnieWahlberg ooh I�m excited and not even going 2 be there  long love YOUTUBE!,1,ooh excit even go long love youtub
spent 1 hour to reach to Axis bank only to find out today is holiday for Mahavir Jayanti  contd..,1,spent hour reach axi bank find today holiday mahavir jayanti contd
@mathewsmichael  i agree... the jobros dont update theres very often ,1,agre jobro dont updat there often
@fishmouse it is hilarious and I linked the clip from LJ some time ago but when I went back just now it was a dead link ,0,hilari link clip lj time ago went back dead link
@DiannePulham OOOOOOOO who with? (im not neither but thats because i need to study  ),1,oooooooo im neither that need studi
"Haven't tweeted nearly all day  Posted my website tonight, hopefully that goes well  Night time!",1,havent tweet nearli day post websit tonight hope go well night time
@bostongarden I miss bentley ,1,miss bentley
seriously needs to finish these job applications ,1,serious need finish job applic
"My son Vincas is sick, so I stay at home  Just three tense days at work, and I am back on holiday with kids",0,son vinca sick stay home three tens day work back holiday kid
Whinging. My client&amp;boss don't understand English well. Rewrote some text unreadable. It's written by v. good writer&amp;reviewed correctly. ,1,whing client amp bo dont understand english well rewrot text unread written v good writer amp review correctli
@huntermoore I don't want him to ever punch me.  ,1,dont want ever punch
sooo sick of the snow  ughh,0,sooo sick snow ughh
@LoveMeagan it doesn't work your fan is upset ,1,doesnt work fan upset
I would like to apologize for the repeated Video Games Live related tweets. I am going to have a stern discussion with Koodo soon. Stern. ,1,would like apolog repeat video game live relat tweet go stern discuss koodo soon stern
@zaydia but i cant figure out how to get there / back / pay for a hotel etc ,1,cant figur get back pay hotel etc
"FML: So much for seniority, bc of technological ineptness, I now have to &quot;register&quot; for classes AGAIN ",1,fml much senior bc technolog inept quot regist quot class
feels like she slept the day away.    Not looking forward to any more bouts with my gallbladder.  At least I have pills now for the pain.,0,feel like slept day away look forward bout gallbladd least pill pain
@ThaStevieG but what I really want is my old bass back ,1,realli want old bass back
